21:02:08:080 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:081 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:081 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:081 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:082 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:082 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:082 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:083 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:084 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:084 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:084 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:084 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:085 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:085 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:085 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:086 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:08:087 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
21:02:08:087 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
